dataEfetiva,categoria,valorEfetivo,descricao
2025-07-04T00:00:00,1.1.1 Locação de Veiculos,701.4,ALUGUEL DE MOTO - SKJ8E68 
2025-07-01T00:00:00,1.1.1 Locação de Veiculos,36.93,ALUGUEL DE VEÍCULO SEMANAL 
2025-07-01T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL DE VEÍCULO SEMANAL 3/12
2025-07-01T00:00:00,1.1.1 Locação de Veiculos,276.84,ALUGUEL SEMANAL 
2025-07-01T00:00:00,1.1.1 Locação de Veiculos,323.02,ALUGUEL SEMANAL 
2025-07-01T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-01T00:00:00,1.1.1 Locação de Veiculos,400.23,ALUGUEL SEMANAL 
2025-07-01T00:00:00,1.1.1 Locação de Veiculos,400.23,ALUGUEL SEMANAL 
2025-07-03T00:00:00,1.1.1 Locação de Veiculos,349.3,ALUGUEL SEMANAL 
2025-07-03T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-03T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-03T00:00:00,1.1.1 Locação de Veiculos,419.3,ALUGUEL SEMANAL 
2025-07-03T00:00:00,1.1.1 Locação de Veiculos,439.05,ALUGUEL SEMANAL 
2025-07-04T00:00:00,1.1.1 Locação de Veiculos,353.53,ALUGUEL SEMANAL 
2025-07-04T00:00:00,1.1.1 Locação de Veiculos,384.34,ALUGUEL SEMANAL 
2025-07-04T00:00:00,1.1.1 Locação de Veiculos,384.34,ALUGUEL SEMANAL 
2025-07-04T00:00:00,1.1.1 Locação de Veiculos,399.75,ALUGUEL SEMANAL 
2025-07-05T00:00:00,1.1.1 Locação de Veiculos,276.59,ALUGUEL SEMANAL 
2025-07-05T00:00:00,1.1.1 Locação de Veiculos,284.5,ALUGUEL SEMANAL 
2025-07-06T00:00:00,1.1.1 Locação de Veiculos,276.68,ALUGUEL SEMANAL 
2025-07-07T00:00:00,1.1.1 Locação de Veiculos,276.76,ALUGUEL SEMANAL 
2025-07-07T00:00:00,1.1.1 Locação de Veiculos,339.64,ALUGUEL SEMANAL 
2025-07-07T00:00:00,1.1.1 Locação de Veiculos,353.85,ALUGUEL SEMANAL 
2025-07-07T00:00:00,1.1.1 Locação de Veiculos,392.4,ALUGUEL SEMANAL 
2025-07-07T00:00:00,1.1.1 Locação de Veiculos,400.11,ALUGUEL SEMANAL 
2025-07-07T00:00:00,1.1.1 Locação de Veiculos,400.11,ALUGUEL SEMANAL 
2025-07-07T00:00:00,1.1.1 Locação de Veiculos,400.11,ALUGUEL SEMANAL 
2025-07-07T00:00:00,1.1.1 Locação de Veiculos,423.24,ALUGUEL SEMANAL 
2025-07-08T00:00:00,1.1.1 Locação de Veiculos,323.11,ALUGUEL SEMANAL 
2025-07-08T00:00:00,1.1.1 Locação de Veiculos,323.11,ALUGUEL SEMANAL 
2025-07-08T00:00:00,1.1.1 Locação de Veiculos,400.23,ALUGUEL SEMANAL 
2025-07-08T00:00:00,1.1.1 Locação de Veiculos,438.79,ALUGUEL SEMANAL 
2025-07-09T00:00:00,1.1.1 Locação de Veiculos,500.0,ALUGUEL SEMANAL 
2025-07-09T00:00:00,1.1.1 Locação de Veiculos,729.61,ALUGUEL SEMANAL 
2025-07-10T00:00:00,1.1.1 Locação de Veiculos,251.31,ALUGUEL SEMANAL 
2025-07-10T00:00:00,1.1.1 Locação de Veiculos,349.3,ALUGUEL SEMANAL 
2025-07-10T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-10T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-10T00:00:00,1.1.1 Locação de Veiculos,398.3,ALUGUEL SEMANAL 
2025-07-10T00:00:00,1.1.1 Locação de Veiculos,419.3,ALUGUEL SEMANAL 
2025-07-11T00:00:00,1.1.1 Locação de Veiculos,293.3,ALUGUEL SEMANAL 
2025-07-11T00:00:00,1.1.1 Locação de Veiculos,293.3,ALUGUEL SEMANAL 
2025-07-11T00:00:00,1.1.1 Locação de Veiculos,323.6,ALUGUEL SEMANAL 
2025-07-11T00:00:00,1.1.1 Locação de Veiculos,384.34,ALUGUEL SEMANAL 
2025-07-12T00:00:00,1.1.1 Locação de Veiculos,276.59,ALUGUEL SEMANAL 
2025-07-12T00:00:00,1.1.1 Locação de Veiculos,353.64,ALUGUEL SEMANAL 
2025-07-12T00:00:00,1.1.1 Locação de Veiculos,384.46,ALUGUEL SEMANAL 
2025-07-13T00:00:00,1.1.1 Locação de Veiculos,399.99,ALUGUEL SEMANAL 
2025-07-13T00:00:00,1.1.1 Locação de Veiculos,399.99,ALUGUEL SEMANAL 
2025-07-13T00:00:00,1.1.1 Locação de Veiculos,399.99,ALUGUEL SEMANAL 
2025-07-14T00:00:00,1.1.1 Locação de Veiculos,276.76,ALUGUEL SEMANAL 
2025-07-14T00:00:00,1.1.1 Locação de Veiculos,323.02,ALUGUEL SEMANAL 
2025-07-14T00:00:00,1.1.1 Locação de Veiculos,353.85,ALUGUEL SEMANAL 
